URL,Name,Variants,Latin
http://viaf.org/viaf/12693704/,Dius Historicus v2. Jh.,"Dios, Dius Historicus v2. Jh.",0
http://viaf.org/viaf/12694038/,Polygnostus Historicus Person der Antike,"Polygnostus Historicus, Polygnostos",0
http://viaf.org/viaf/12694040/,Serapion Alexandrinus v2./3. Jh.,"سيرابيون الإسكندري طبيب إغريقي, Serapion Alexandrinus v2./3. Jh., Serapion, Alexandrinus",0
http://viaf.org/viaf/13110116/,"Theodotus, Bishop of Ancyra, -approximately 445
                           
                           
                           
                        ","Theodotus, Bishop of Ancyra, -approximately 445, Theodotus, Ancyranus, na 381-",0
http://viaf.org/viaf/13118051/,Aëtius Doxographus ca. 100,"Aëtius, active 1st century-2nd century, Ἀέτιος, Aetios, ca 100 e. Kr., Aetios (doksograf)., Aetius Doxographus ca. 100, Aetius (doxographus), Aetius, activité 1er siècle-2e siècle, Aëtios, činný 1. století-2. století, Aetius Arabus",0
http://viaf.org/viaf/133145542408596641476,Gaius Romanus 2./3. Jh.,Gaius Romanus 2./3. Jh.,0
http://viaf.org/viaf/136773016/,Moschion Medicus v1. Jh.,"Moschion Medicus ca. 1. Jh. v. Chr., Mosquió (metge)",0
http://viaf.org/viaf/14580863/,"Aristophon, 4th cent. B.C.","Aristophon Comicus, Aristophon 4th cent. B.C., Aristophon, active 4th century B.C.",0
http://viaf.org/viaf/15114392/,Polycrates Ephesius 2. Jh,"Polykrates fra Efesos, Polycrates Ephesius ca. 2. Jh., Polycrates, Ephesius",0
http://viaf.org/viaf/15159369/,Adaeus Mytilenensis v3. Jh,"Ἀδαῖος Μιτυληναῖος, Adaeus Mytilenensis v3. Jh.",0
http://viaf.org/viaf/15159416,Androsthenes Thasius v4. Jh,Androsthenes v4. Jh Thasius,0
http://viaf.org/viaf/15159557/,Chrysermus Medicus v1. Jh.,"Criserm, Chrysermus Medicus v1. Jh.",0
http://viaf.org/viaf/15159588/,Cleobulus Medicus ca. 2.Jh.n.Chr.,Cleobulus Medicus ca. 2. Jh.,0
http://viaf.org/viaf/15159672,Nicolaus Ancyranus 5. Jh.,"Nicolaus Ancyranus 5. Jh., Nikolaos von Ankyra",0
http://viaf.org/viaf/15159906/,"Hestiaeus Perinthius v4. Jh.
                           ","Гэстыэй Пэрынтыйскі, Hestiaeus Perinthius v4. Jh.",0
http://viaf.org/viaf/15160198/,"Theudas Medicus ca. 1.Jh.n.Chr.
                           ",Theudas Medicus ca. 1. Jh.,0
